name	formula	state	pwd_xyz	energy	Mass	Na
CO	C1O1	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CO_1Sigma.xyz	-113.162194	28.009700000000002	2
N2	N2	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/N2_1Sigma.xyz	-109.380845	28.0134	2
NO	N1O1	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/NO_2Pi.xyz	-129.725990	30.0057	2
O2	O2	3Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/O2_3Sigma.xyz	-150.140358	31.998	2
CH2	H2C1	3B1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH2_3B1.xyz	-39.079824	14.02638	3
NH2	H2N1	2B1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/NH2_2B1.xyz	-55.799659	16.022380000000002	3
H2O	H2O1	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H2O_1A1.xyz	-76.342326	18.014680000000002	3
C2H	H1C2	2Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C2H_2Sigma.xyz	-76.462316	25.02924	3
HNC	H1C1N1	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HNC_1Sigma.xyz	-93.257511	27.02524	3
HCN	H1C1N1	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HCN_1Sigma.xyz	-93.281168	27.02524	3
HCO	H1C1O1	2Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HCO_2Ap.xyz	-113.692160	29.01754	3
HNO	H1N1O1	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HNO_1Ap.xyz	-130.309750	31.01354	3
HO2	H1O2	2App	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HO2_2App.xyz	-150.725748	33.00584	3
C3	C3	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C3_1Sigma.xyz	-113.838661	36.0321	3
C2N	C2N1	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C2N_2Pi.xyz	-130.531700	38.0281	3
C2O	C2O1	3Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C2O_3Sigma.xyz	-151.026024	40.0204	3
NCO	C1N1O1	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/NCO_2Pi.xyz	-167.761586	42.016400000000004	3
CO2	C1O2	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CO2_1Sigma.xyz	-188.340595	44.008700000000005	3
N2O	N2O1	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/N2O_1Sigma.xyz	-184.420459	44.0124	3
NO2	N1O2	2A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/NO2_2A1.xyz	-204.816669	46.0047	3
CH3	H3C1	2B2	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH3_2B2.xyz	-39.763501	15.034220000000001	4
